time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
3151,319488,122.65,285.93300000000005,39,101,0.14317626953125,0.18,-0.006521882866763917,-0.9458462967071682,0.527344822883606,0.0003,0.010903573,415.5246887207031,380,863.7295869186521,,
3234,327680,155.48,305.01399999999995,40,101,0.07628173828125,0.18,-0.011146905294481257,-0.9529868588317185,0.5405663251876831,0.0003,0.0067490293,91.5435791015625,390,800.8800187751651,,
3296,335872,167.37,311.22700000000003,41,101,0.20574951171875,0.18,-0.008362148520063784,-0.9099853040184825,0.6052405834197998,0.0003,0.016933799,172.73072814941406,400,729.1679315637797,,
3364,344064,147.45,304.685,42,102,0.3102783203125,0.18,0.009809466170918314,-0.914644954027608,0.5264226198196411,0.0003,0.02301973,62.52963638305664,410,843.8626325497869,,
3434,352256,173.78,331.074,43,102,0.16209716796875,0.18,-0.00742245372839534,-0.9639858402777464,0.5396290421485901,0.0003,0.010663275,26.57146453857422,420,805.8025761388242,,
3497,360448,190.16,381.728,44,103,0.2181884765625,0.18,-0.00045502521334128687,-0.9620748367160559,0.5712510347366333,0.0003,0.016575757,326.6158752441406,430,728.580794462189,,
3557,368640,236.29,415.37299999999993,45,103,0.12767333984375,0.18,-0.010963323901523835,-0.9218620797619224,0.591483473777771,0.0003,0.009410739,202.9674835205078,440,789.4351591635495,,
3610,376832,194.5,395.86800000000005,46,104,0.20313720703125,0.18,0.00045109248967492024,-0.9161295590456575,0.6111149787902832,0.0003,0.021931402,20.571908950805664,450,740.7612209916115,,
3685,385024,154.57,388.225,47,104,0.0769287109375,0.18,-0.01018596525027533,-0.9167888287454844,0.4577649235725403,0.0003,0.006964972,240.59759521484375,460,1265.2714917488397,,
3751,393216,159.76,417.41599999999994,48,104,0.0751708984375,0.18,-0.00592542831764149,-0.9252983340993524,0.4841606020927429,0.0003,0.016875612,104.87570190429688,470,1438.1441228859126,,
,400000,,,,,0.04913330078125,0.18,-0.007887035813655529,-0.8709202338010072,0.3225369453430176,0.0003,0.0053417487,933.7012329101562,480,1804.0947128415107,-700.96,1000.0
3821,401408,183.39,444.03100000000006,49,105,,,,,,,,,,,,
3877,409600,189.25,449.765,50,105,0.09156494140625,0.18,-0.0074368729674461065,-0.8537567143794149,0.4593588709831238,0.0003,0.007011975,6.636535167694092,490,1256.1545096322893,,
3940,417792,216.79,477.0450000000001,51,106,0.09599609375,0.18,-0.006334565885299526,-0.8009962467476726,0.36652398109436035,0.0003,0.00854665,44.93243408203125,500,1592.0359078370034,,
